Slang,Baku
dl,dulu
jg,juga
jd,jadi
jdi,jadi
tpi,tapi
tp,tapi
gak,tidak
gk,tidak
aj,saja
nggak,tidak
ga,tidak
kalo,kalau
apk,aplikasi
msh,masih
msih,masih
gue,saya
gw,saya
lu,kamu
lo,kamu
loe,kamu
anjay,bagus
knp,kenapa
lemot,lambat
mantab,bagus
mantul,bagus
vocer,voucher
ilang,hilang
yg,yang
yng,yang
ngaco,kacau
lg,lagi
discond,diskon
product,produk
masukin,masuk
udh,sudah
oke,bagus
bsa,bisa
gercep,gerak cepat
cod,cash on delivery
tuk,untuk
untk,untuk
tw,tahu
tau,tahu
laen,lain
tlg,tolong
nyampenya,sampainya
nyampe,sampai
veripikasi,verifikasi
melulu,selalu
dpt,dapat
dapt,dapat
ap,apa
iy,iya
tloll,bodoh
bntr,sebentar
lgi,lagi
bngkrut,bangkrut
ok,oke
tdk,tidak
&,dan
dgn,dengan
utk,untuk
dr,dari
krn,karena
aja,saja
karna,karena
udah,sudah
kmr,kamar
g,tidak
banget,sekali
bgt,sekali
n,dan
bs,bisa
dg,dengan
pake,pakai
sampe,sampai
dapet,dapat
ad,ada
bikin,buat
tak,tidak
ny,nya
ngga,tidak
nunggu,tunggu
klo,kalau
blm,belum
trus,terus
kayak,seperti
dlm,dalam
org,orang
hrs,harus
sm,sama
byk,banyak
krg,kurang
kmar,kamar
spt,seperti
pdhl,padahal
chek,cek
pesen,pesan
kran,keran
gitu,begitu
lbh,lebih
tmpt,tempat
dikasi,dikasih
serem,seram
sya,saya
jgn,jangan
dri,dari
dtg,datang
gada,tidak ada
standart,standar
mlm,malam
k,ke
kl,kalau
sgt,sangat
y,ya
krna,karena
tgl,tanggal
terimakasih,terima kasih
kecoak,kecoa
pd,pada
tdr,tidur
kyk,seperti
sdh,sudah
ama,sama
gmana,bagaimana
dalem,dalam
tanyak,tanya
taru,taruh
gede,besar
access,akses
tetep,tetap
mgkin,mungkin
sower,shower
idup,hidup
nyaaa,nya
baikk,baik
hanay,hanya
tlp,telpon
kluarga,keluarga
jln,jalan
hr,hari
ngak,tidak
bli,beli
naro,taruh
smoga,semoga
dong,dong
solusinya,solusi
seharusnya,harus
pke,pakai
memudhkan,mudah
fre,gratis
free,gratis
mantep,bagus
nya,nya
bli2mart,blibli mart
okok,oke
ruet,pusing
app,aplikasi 
ama,sama
whatsap,whatsapp
sameday,pada hari yang sama 
jls ,jelas
mantullllll,sangat bagus
bnyk,banyak
donlod,download
tmbh,tambah 
syg,sayang
br,baru
hp,handphone
mantaf,mantap  
n,dan
org,orang
yg,yang
bli bli ,blibli 
cct,cacat
dlu,dulu
semang,semangat 
plg,paling
drpd,daripada
mayan,lumayan
cs,customer service
,
skrg,sekarang
ksih,kasih
tiba2,tiba-tiba
hrs,harus
kg,tidak
,
bgd,bagus
mengjukan,mengajukan
utk ,untuk
sy,saya
&,dan
gx,tidak
cri,cari
cri2,cari-cari
jos gandos ,bagus banget 
klw ,kalau
krg ,kurang
satset,cepat 
,
dpt,dapat
bingit,banget
terbaekk,terbaik
sja,saja
uunnchhh,lucu
boong,bohong
amazing,sangat bagus
sllu,selalu
manji,sangat bagus
nomor wahid,terbaik
P oo ok k ooooo oo oo o oo oo oo,sangan bagus 
great,bagus
joossshhh,kerja bagus
.j.. N b.,sangat bagus 
caem,bagus
top,bagus banget 
kcw,kecewa
mw,mau 
muantap's,sangat bagus 
ajib,bagus banget 
fastttt ,cepat 
wkt,waktu
g,tidak
maaciw,terimakasih
,
lma,lama 
bljn,belanja
gw,saya
bwt,banget 
hny,hanya
dpt,dapat
apps,aplikasi
d,di
bner,benar 
kk,kakak
kwalitas,kualitas
nua,nya
br,baru
pdhl,padahal
indo ,indonesia
ngk,tidak
berman faat,bermanfaat
utk,untuk 
ad,ada
hoak,palsu 
sorry ,maaf
tlpn,telpon
nnti,nanti
blom,belum
bug,lemot 
yach,iya
trims,terima kasih 
brg,barang
bgttt,banget
1bln,1 bulan
cancel ,batal
easy,mudah
slalu,selalu
hany,hanya
transactions,transaksi
reccomend,rekomendasi
sering2,sering-sering
serever,server
klu,jika
baguss,bagus
Tesss,tes
ulng²,ulang
ampe,sampai
kli,kali
tmpilanx,tampilan
Please,tolong
help,bantu
bagusss,bagus
Apakh,apakah
bnyak,banyak
thx,terima kasih 
man tu l,mantap 
cakeup,bagus
buanyaak,banyak
use,gunakan
goood,bagus
okeee,oke
gbs,tidak bisa
not,tidak
lamaaaaaa,lama
lwaaaamaaaa,lama
mbedakan,membedakan
oriiiii,orisinil
tks,terima kasih 
tq,terima kasih 
terbaiik,terbaik
pdhal,padahal
doank,doang
mantul,mantap 
nagus,bagus
knpa,kenapa
aing,saya
loding,memuat
loading,memuat
apalagiiii,apalagi
Sperti,seperti
pngriman,pengiriman
trimakasih,terima kasih
bgtu,begitu
ajja,saja
makek,menggunakan
nda,tidak
delanja,belanja
paylater,bayar nanti
ogkir,biaya kirim
bagud,bagus
canle,batal
mantapppp,mantap 
aplicasi,aplikasi
refund,pengembalian
q,aku
bermfaat,bermanfaat
mudahn ,mudah
ultah,ulang tahun
mlah,justru
sajah,saja
byar,bayar
produknua,produknya
seler,penjual
gmn,gimana
nnti,nanti
cqra,cara
mengetahuai,mengetahui
bru,baru
sprtiny,sepertinya
mnarik,menarik
dn,dan
gtis,gratis
smga,semoga
mngecewakn,mengecewakan 
irt,ibu rumah tangga
ndak,tidak
barang2nya,barang-barangnya
tamvahin,tambahkan
tambahin,tambahkan 
dikurangin,dikurangi 
nungguin,menunggu 
kesel,kesal
mulu,selalu
apknya,aplikasinya
hpku,ponselku
androit,android
konek,tersambung
mudah2an,mudah-mudahan 
reward,hadiah
full,penuh
real,benar
no,tidak
fake,palsu
mug,cangkir
klau,kalau
pengirinan,pengiriman
gpp,tidak apa-apa
prtama,pertama
kl,kalau
skrang,sekarang
ongkirny,biaya kirimnya
update,pembaruan
uda,sudah
hapusi,menghapus
diinstal,diunduh
brp,berapa
mb,megabyte
musti,harus
up date,pembaruan
simple,sederhana
di-split,dipisah
recomended,direkomendasikan
uninstall,hapus
ngrti,mengerti
kog,kok
mending,lebih baik
nyampenya,sampainya
dll,dan lain-lain
instal,unduh
apl,aplikasi
ntar,nanti
nyoba,coba
tmbahin,tambahkan
cakep,bagus
order,pesan
thanks,terima kasih
mesti,harus
dirumah,di rumah
psn,pesan
dtng,datang
ori,orisinil
binta,bintang
mnykai,menyukai
trpercaya,terpercaya
byr,bayar
tmpat,tempat
smua,semua
aq,saya
byrnya,bayarnya
smpai,sampai
kepapua,ke papua
nunguin,menuggu
kuril,kurir
vocer,kupon
kerekenin,ke rekening
olshop,online shop
cb,coba
ak,saya
mo,ingin
ongkir,biaya kirim
murmer,murah meriah
nggk,tidak
ud,sudah
dbyr,dibayar
dsni,di sini
byra,bayar
sbga,sebagai
funny,lucu
gabisa,tidak bisa
seller,penjual
download,unduh
tuker,tukar
biaa,biasa
sayanya,sayangnya
hati2,hati-hati
jelad,jelas
hack,retas
good,bagus
vcr,voucher
%,persen
klo,kalau
co,checkout
lola,lama
klw,kalau
bgus,bagus
kmplain,komplain
lngsung,langsung
lngsg ,langsung
langsg,langsung
